Category,URL
ART_AND_DESIGN,https://play.google.com/store/apps/category/ART_AND_DESIGN?hl=en
AUTO_AND_VEHICLES,https://play.google.com/store/apps/category/AUTO_AND_VEHICLES?hl=en
BOOKS_AND_REFERENCE,https://play.google.com/store/apps/category/BOOKS_AND_REFERENCE?hl=en
BUSINESS,https://play.google.com/store/apps/category/BUSINESS
COMICS,https://play.google.com/store/apps/category/COMICS
COMMUNICATION,https://play.google.com/store/apps/category/COMMUNICATION
DATING,https://play.google.com/store/apps/category/DATING
EDUCATION,https://play.google.com/store/apps/category/EDUCATION
ENTERTAINMENT,https://play.google.com/store/apps/category/ENTERTAINMENT
EVENTS,https://play.google.com/store/apps/category/EVENTS
FINANCE,https://play.google.com/store/apps/category/FINANCE
FOOD_AND_DRINK,https://play.google.com/store/apps/category/FOOD_AND_DRINK?hl=en
HEALTH_AND_FITNESS,https://play.google.com/store/apps/category/HEALTH_AND_FITNESS?hl=en
HOUSE_AND_HOME,https://play.google.com/store/apps/category/HOUSE_AND_HOME?hl=en
LIBRARIES_AND_DEMO,https://play.google.com/store/apps/category/LIBRARIES_AND_DEMO?hl=en
LIFESTYLE,https://play.google.com/store/apps/category/LIFESTYLE
MAPS_AND_NAVIGATION,https://play.google.com/store/apps/category/MAPS_AND_NAVIGATION?hl=en
MUSIC_AND_AUDIO,https://play.google.com/store/apps/category/MUSIC_AND_AUDIO?hl=en
NEWS_AND_MAGAZINES,https://play.google.com/store/apps/category/NEWS_AND_MAGAZINES?hl=en
PARENTING,https://play.google.com/store/apps/category/PARENTING
PERSONALIZATION,https://play.google.com/store/apps/category/PERSONALIZATION
PHOTOGRAPHY,https://play.google.com/store/apps/category/PHOTOGRAPHY
PRODUCTIVITY,https://play.google.com/store/apps/category/PRODUCTIVITY
SHOPPING,https://play.google.com/store/apps/category/SHOPPING
SOCIAL,https://play.google.com/store/apps/category/SOCIAL
SPORTS,https://play.google.com/store/apps/category/SPORTS
TOOLS,https://play.google.com/store/apps/category/TOOLS
TRAVEL_AND_LOCAL,https://play.google.com/store/apps/category/TRAVEL_AND_LOCAL?hl=en
VIDEO_PLAYERS_AND_EDITORS,https://play.google.com/store/apps/category/VIDEO_PLAYERS?hl=en_IN
WEATHER,https://play.google.com/store/apps/category/WEATHER
ACTION,https://play.google.com/store/apps/category/GAME_ACTION
ADVENTURE,https://play.google.com/store/apps/category/ADVENTURE
ARCADE,https://play.google.com/store/apps/category/GAME_ARCADE
BOARD,https://play.google.com/store/apps/category/GAME_BOARD
CARD,https://play.google.com/store/apps/category/GAME_CARD
CASINO,https://play.google.com/store/apps/category/GAME_CASINO
CASUAL,https://play.google.com/store/apps/category/CASUAL
EDUCATIONAL,https://play.google.com/store/apps/category/EDUCATIONAL
MUSIC,https://play.google.com/store/apps/category/MUSIC
PUZZLE,https://play.google.com/store/apps/category/GAME_PUZZLE
RACING,https://play.google.com/store/apps/category/GAME_RACING
ROLE_PLAYING,https://play.google.com/store/apps/category/ROLE_PLAYING?hl=en
SIMULATION,https://play.google.com/store/apps/category/GAME_SIMULATION
SPORTS_GAMES,https://play.google.com/store/apps/category/SPORTS_GAMES?hl=en
STRATEGY,https://play.google.com/store/apps/category/GAME_STRATEGY
TRIVIA,https://play.google.com/store/apps/category/GAME_TRIVIA
WORD,https://play.google.com/store/apps/category/GAME_WORD
